,text,class
117,"Enormes @alo_oficial y @LewisHamilton. Buena carrera hoy en Spa. 
","P
"
118,"Luego lo mas seguro haga Periscope, alguien me va a ver? 
","N
"
119,"@tomatinacon mucha suerte para mañana y que vaya todo genial! 
","P
"
120,"@JAVIERCASTRO96 por supuesto amigo mí que pases buen domingo 
","P
"
121,"@Aylinaylinchu @rompemelcorazon ta entonces me entendes porque no hablo chino amorrr 
","N
"
122,"@salvaroj La experiencia en mi centro es que los docentes (en la medida de nuestras posibilidades) las llevamos a cabo habitualmente 
","N
"
123,"Cuando contrato 500mbs extra y llevo consumido 3 Gb JAJAJA cuando vea la factura no habrá tanta risa 
","N
"
124,"Gracias por compartir querido Pepín  @CliftJose
","P
"
125,"Hulkenberg con ese cohete en recta es siempre complicado de adelantar. Se han ido demasiado Ricciardo y Rosberg 
","N
"
126,"@MikaCookies gracias por el follow   y espero que consigas muchas firmas ^^
","P
"
127,"A Piper no le gusta que robe en las casas ni a la gente, Piper se ha ido a la basura junto a albóndiga 
","N
"
128,"@EGonzalez_F1 @VirutasF1  Faltaría más que estuvieran pendientes de mí humilde condición 
","NONE
"
129,"@EvilAFM @RiotSh4rin nuestro 24 horas Solidario lo hacemos turnandonos para dormir, yo no apoyaría mucho algo tan poco salubre 
","N
"
130,"Que bien, cuando marca el Madrid a mi portátil le apetece darme un pantallazo azul y reiniciarse 
","N
"
131,"@ElenaDiazGarcia el final volviendo a la aldea es quizá demasiado tierno 
","N
"
132,"@ElDesmarque_VCF Pero nos falta un tio que meta gol, y el cabrón de Alcacer ya no está.  Haber ahora.
","NONE
"
133,"@Demasiaupalbodi enhorabuena! Disfruta por los que nos quedamos en el camino 
","NONE
"
134,"Cuando tienes Spotify vinculado a Facebook y te borras la cuenta de éste último... 
","N
"
135,"@MrSantiagus tranquilo, que yo si que te vi la única vez que he ido a chocochurros pero no sabía quien eras todavía! Jajaj 
","N
"
136,"@MasRazonqUnSant Entro el golpe,limpio como una mañana de primavera 
","N
"
137,"@ElDesmarque_VCF No mericiamos la derrota, pero el puto arbitro, ha decidido lo contrario, no nos salen buenos arbitros. 
","N
"
138,"@Suqata vale. Soy lo que tú digas. No me conocía. Gracias por presentarme 
","N
"
139,"Y volvedme a llamar a mi xfavor, que yo también quiero hablar con vosotras  Y deeeejad a Lidia tranquila 😂
","NEU
"
140,"La bso de titanic en radio clásica, me voy a morir de la depresión 
","N
"
141,"@InigoLuiz siento haberle faltado el respeto a tu ego al no haberte mencionado 
","N
"
142,"Pues casi 3000Km que le he metido al pobre coche estos 15 días 
","N
"
143,"@JoaquinRamirez @DiarioSUR Hola Joaquín, redifundimos. Un abrazo 
","P
"
144,"@LordTyrellGH Melanie era la mejor, encima la echaron el dia de su cumple  SINVERGUENZAS
","P
"
145,"@uby77 @miguel_prat @titomartin67 @Mig31MN el de hacer la compra los domingos  en zonas beneficiadas 
","N
"
146,"@Barbarathenea que yo recuerde, no le he faltado al respeto, pase usted un buen día. Salud y república 
","P
"
147,"@LuisElgotera Difícil encontrar un chico que piense así, me alegro mucho de que lo hagas. 
","N
"
148,"@juanrallo Seguro que la palabra ""social"" aparece en numerosas ocasiones 
","N
"
149,"Un vibrador que nos estudia...se adapta a nuestras necesidades. Lo mejor del #Verano este #juguete inteligente   https://t.co/VLgBuWnYX7
","P
"
150,"El señor @Vondalv no quiere jugar duoq conmigo   
","NONE
"
151,"@CasanovasRichy  Buenos dias y feliz domingo  abrazo♡
","P
"
152,"@lsanzo @velardedaoiz no le llames ""pobreza real"", que la liamos 
","N
"
153,". Con el Código ""Ninja"" 5℅ de descuento  en @SimpleDigitales  Fiables y económicos!!
","N
"
154,"Vengo hasta Carabanchel para estudiar pero la biblioteca esta cerrada 
","N
"
155,"Lo de quedarse sola en casa sonaba a planazo de domingo, hasta que me doy cuenta de que no hay dulces en casa 
","N
"
156,"@RSF_1909 @Guas0406 Tercera vía. Me uno el club. Siempre sin acritud 
","N
"
157,"@LiederabendCat Muchaas!! Y algunas muy bonitaas! Pero es verdad que se tiende a interpretar los 40 principales..   
","N
"
158,"Hoy queremos felicitar por su cumple a una de las mejores personas que hemos conocido gracia al #páde #RafaGuerrero  @PlanetaPadel  
","N
"
159,"@bernargimenez para nada, mi cuerpo se programa solo y no duermo más 
","N
"
160,"@Chamartin4ever El campeón de esa técnica es íntimo amigo de Valdano 
","P
"
161,"La figura de magearna se esta retrasando un poco  Es raro en ese vendedor  aunque normalmente le pido un pack grande 
","N
"
162,"Qué bonito fue aquel mes en el que viví sola y nadie me hacia un interrogatorio cada vez que llegaba a casa 
","N
"
163,"Dormir 2 horas, despertarte y ver la pantalla deñ móvil rajada 
","N
"
164,"@MalaSangrePaTi Ahora @RadioCable, antes @CarneCrudaRadio... triste deriva en la parrila de @La_SER  #YoSoyBerlin
","N
"
165,"Mira que cucada 😍😍😍😍😍😍😍😍😍 Le he puesto hasta el lacito k llevaba el de ash  https://t.co/4ZHEft8f0q
","N
"
166,"@SMagMell ""Hijo, me comes bien? Te vemo mas delgado..."" Frases de madres... 
","N
"
167,"@fernando_rueda aah Ok! Pues está genial porque no da sensación de estar encerrado 
","N
"
168,"Buenas noches  ha sido un buen, aunque caluroso, fin de semana o/
","P
"
169,"una Go-Pro de calidad! proteccion bajo el agua y soporte de cabeza    porq ago tantas caras...OK EN FIN!
","N
"
170,"@NKHrapBLAQ bueno, yo voy por la mañana a madrid pero intentaré ir o si no nos vemos en la cola que fijo me pasaré 
","P
"
171,"@EstrellaSinMich Pues no se pierde nada, salvo mamarrachadas demodé.  @dmoralejo
","N
"
172,"@Alba_p_m por lo menos hoy he mirado dos albergues   mañana pago
","P
"
173,"@ayeste8 ¡Muchas gracias! A día de hoy, veo que suficiente si nos salvamos, no damos para mucho.¡Suerte para vosotros también! 
","P
"
174,"@manowl @lugaricano Pero es absurdo! Y más si argumentamos que muchos españoles se ven obligados a salir de España... 
","N
"
175,"@GuerraCivilLeon Tremendo. Mañana a una hora de mayor actividad os meneo. 
","N
"
176,"@theJesusRoman no me considero conservadora en ese sentido pero claro siempre hablo desde mi perspectiva y opinión personal 
","N
"
177,"Os recordamos que tenemos una encuesta para premiar las mejores tiendas del país... visitad el enlace y votar  https://t.co/pezrdzWLa8
","N
"
178,"@AdvyStyles Guitar ya sabes que hacer. El otro día estuve en llamada contigo por Green.  A ver si unas públicas, aún que sea malo... 
","NEU
"
179,"@MenarguezGil ya mismo seguro! Un abrazo fuerte 
","P
"
180,"@Onesecondft5D     Ya está preparando cosillas nuevas jeje
","N
"
181,"@islatintero Es un gran artículo y muy útil. Como todo lo de la sección 
","N
"
182,"@FrancisHD3 En Octubre haré cositas, un fuerte abrazo 
","P
"
183,"quiero tomarme una tila pero me da miedo quedarme atontada mañana 
","N
"
184,"Esta tocando Bolbora en mi pueblo y yo en la cama con 38 de fiebre 
","N
"
185,"Harvey es tan bonito con las fans que mira me quiero matar, quiero verlo 
","P
"
186,"@21LVA  el mejor jugador de España .que jugon   
","P
"
187,"@Ravel_18 estoy solo en casa  ah espera que esto solo funciona si eres tia
","NEU
"
188,"@jpablobece  la tengo que retomar... qué tal la segunda temporada? a @crevillo le ha flipado pero q opinas tú? que Carlos no es de fiar 
","N
"
189,"Y también dice caca solo que no me ha dado tiempo a grabarle 
","N
"
190,"@KidrauhlSolotu Mira,así haces ejercicio JAJAJA 
","P
"
191,"Mañana tengo que ir otra vez al médico y seguro que me vuelven a decir que no puedo beber alcohol 
","N
"
192,"@Madeinmarsu No sé si está traducido, yo lo busqué hace tiempo y sólo lo encontré subtitulado 
","N
"
193,"@javimooont @_VickyReyes Hecho, pero no está previsto a corto/medio plazo 
","N
"
194,"@5555Selulopez @ideal_granada y quien va a pagar una multa de 3.000 euros? tan facil como ir al ayuntamiento y declararse insolvente 
","N
"
195,"@XariTSocial Por lo visto se ha quedado solo en tormentas aisladas 
","N
"
196,"Por cierto, @CarbonellJulia, este año estoy en el grupo 2 de Interpretación, así que no te veo tampoco en las dos horas esas 
","P
"
197,"@isabelgordejo @CeliaFlores9 qué tendrá brozas.. jaajajaja que me descontrola, será la mala influencia 
","N
"
198,"@Daraaacs pfff esque he llegado al 7 y se me ha hecho pesadisimo xd no me gusta 
","N
"
199,"@Mery_Nasu nuestras mentes estan conectadas gracias a nuestro negativismo 
","P
"
200,"@KraskanLOL a mi me dan un poquito de pena la verdad ... no van a ganar para psicologos 
","N
"
201,"Gracias a toda la gente que dio RT a mi mensaje de buscar clan. He conseguido ser suplente adc en DragonsZGaminG,con ganas 
","P
"
202,"Recuerdo a un podemita al final de una discusión q me dijo en F ""y si nos tienen que robar por lo menos que sean otros""  #MarcaEspaña 
","N
"
203,"Me he puesto a pensar una cosa y me estoy despollando sola en la habitación. Que pena doy 
","N
"
204,"@ponteaprueba Pablo de día y Paula de noche  Aquí me tenéis. Un verdadero placer chic@s!
","P
"
205,"@b_urgell @protoeuskaldun ahora se me despierta la curiosidad de saber cuáles eran esos antiguos nombres... 
","N
"
206,"@elOrdenMundial @luisalisferrer @BBCWorld ninguno obligatorio si tienes polla 
","NEU
"
207,"@Disasterology9   -ojos preciosos SÚPER grandes -mayas extravagantes -me debes un póster  -muy agradable 
","N
"
208,"pa kuando la siguiente temporada de Rick y Morty 
","P
"
209,"pa kuando la siguiente temporada de Juego de Tronos 
","N
"
210,"pa kuando la siguiente temporada de Orphan Black 
","P
"
211,"@JuliaRguezzz7 yo me las puse y acto seguido me las quite por que no era capaz de desbloquear el móvil ajjajajja 
","N
"
212,"@Xesus_Villa hoy me he gastado 90 euros en LEGOs, así que los maletines van regular 
","NONE
"
213,"@beaamerinoo @Marttuty más bien una piedra pintada 
","P
"
214,"@estuffaxd   -qué labios  -qué pelo  -pienso que nos llevaríamos  -bien
","N
"
215,"@SosakuRunner incluso los hay que hacen series, farleks y otras absurdidades para sufrir más ENTRENANDO!!! 
","N
"
216,"@Fanta_Esp @mangelrogel @CelopanYT me lo pase genial 
","P
"
217,"@kairosphos Gracias  Nunca es tarde  Muy feliz tarde de domingo  Un abrazo.
","P
"
218,"@sylviahaze_ yo por ejemplo lo único de maquillaje q tengo bueno es de Kat Von D pero entiendo que NYX es barato y que compren, es jodido 
","N
"
219,"@DreamsOfAMinion mejor así, que solo un grupo selecto lo sepa 
","P
"
220,"Me encanta cuando alguien viene a comer, y cuando empiezan a hablar de mis decisiones académicas y tengo que irme para no explotar 
","P
"
221,"@A3Noticias @tv3cat Que despropósito, no invitar a @KRLS al G20 ¡¡ .. Estoy indignado¡¡ Tiene que ser 1 error¡¡ 
","P
"
222,"Qué bueno volver a reencontrarnos aquí, que tantos recuerdos me has dado... #AvilaMedieval #Avilaconencanto #Escapadas 
","N
"
223,"Entiendo que mi tarjeta gráfica se muera, lo que no entiendo es porque puedo ver algunos vídeos y otros no... 
","N
"
224,"Como me cuida mi chico! Buena cenita  #Cena Brownie #Perfect… https://t.co/pAnrsx0umt
","N
"
225,"@numarlolopez @Bonhamled2 las mismas y por idénticas razones que yo puedo tener 
","N
"
226,"@rafa_penya @Xabibenputa Iba a decir ""cabeza de chorlito"", pero es especista 
","N
"
227,"@felixcanadas No, solo hablamos de folklore sísmico, pero no de ese tema, jeje 
","N
"
228,"@Multi_Apuesta 4 minutos... La única que hago, y va a ser rojo... ¿soy gafe? 
","N
"
229,"Es que no había otra opción y necesitaba algo grasiento para curarme de la resaca 
","P
"
230,"@ferozirizamas Me los pusieron hace bien poco en casa de un colega, le dan serio 
","NEU
"
231,"@PaarkMin Disculpa, no estuvimos en Twitter  Si lo volvéis a hacer no dudéis en mencionarnos!
","P
"
232,"@SrtaMusic @MlleGardevoir no tengo  La lejía seria un buen sustituto?
","P
"
233,"@flipper no se si eso sigue vigente, a veces con menos me ha saltado 
","N
"
234,"Que rápido pasa el tiempo solo se que cobro cada mes y ni me da tiempo a gastar 
","N
"
235,"@Anitlunia @Sr_Benzal Al final el pavo se ha ido muy enfadado y la tía arrastrándose pidiendo que no lo hiciese... Me parece muy patético 
","N
"
236,"@BTWD_band @notengodinero @sxrcxstrxphx cabrones que sabéis que soy pobre 
","N
"
237,"@MixieGK3 Oh, nice nice, yo estoy viéndome por cuarta vez Kill Bill 
","NEU
"
238,"@prensa14 @bezdiario Más una crónica que una opinión. Me esperaba lo segundo. Incluso te lo pido 
","N
"
239,"Lo del CuriousCat parece interesante. Creo que me voy a hacer uno a ver que tal 
","N
"
240,"#eljuegodemivida Rambo, mi primer juego de 48k en spectrum.... La Abadía del crimen otro potente   #mundoviejuno
","NONE
"
241,"@AuroPGtez pero después de ducharme tampoco se queda así 
","N
"
242,"@LionessCourage las etiquetas son necesarias. Lxs locxs molamos. Si no quieres etiquetas no molas  LOOOOCAAAA jajajajaj
","NONE
"
243,"@tenistachanel quizás! Probaré eso que será más cuota  thanks!
","N
"
244,"no quiero q troye se haga famoso  q luego empiezan todas las de mi ciudad a mojabraguear 😡
","N
"
245,"Mañana vuelta de vacaciones, lunes, ola de calor 40°, si me queréis secuestrarme 
","N
"
246,"@AlfonsoSeka nooooooo. Ya cocido. Huevos hay. Lo que no hay es ganas de ponerme malo 
","N
"
247,"Sería tan bonito que la gente comentase mis historias y no sólo les diese like. 
","N
"
248,"Las partidas en la beta de Battlefield 1 con amigos son lo mejor del mundo, las risas que me echo no son normales 
","N
"
249,"@pescanpra jajaja ya sabes que las canciones hablan mucho de cosas ficticias 
","N
"
250,"@lopeeez99 Después de todo lo que trabajo normal que duerma hasta las 12, ignorante ... 
","P
"
251,"Me afeité hace dos días y no me puedo arrepentir más. Ahora aprece que tengo 5 años, y no me toman en serio 
","N
"
252,"@XBustos Me cachis ! Ya se olvidan de la pantalla partida   Pero la verdad tiene buena pinta el juego
","P
"
253,"@rosabhernando... Tia que va ella y @freethenacho de telonero! Y hoy cena TT Que maaal  (he escrito mal y el corrector a puesto nasal 
","N
"
254,"@radiocable Siempre caen los mejores.  Suerte.
","N
"
255,"@PesPrimicias Gran noticia, es algo de lo que me he quejado en mis vídeos, sobretodo las pérdidas frecuentes de balón de la defensa 
","P
"
256,"@Zombiexbrain es asqueroso  y lo peor es que te quedas sin saber que hacer y acojonada
","N
"
257,"@ChaendlerBean Agradecidos. Nos miras con buenos ojos  @IvanLibreros95
","P
"
258,"Meses cogiendo peso y ahora bajo 5 kilos en una semana 
","NONE
"
259,"@Anna_TB para mí no son feas  hay feas y bonitas    te salvas de arder en el infierno por hetero
","P
"
260,"@FernandoJaso Yo la verdad que soy de mucho más lejos aún... Asturias... 😂 Pero ya coincidiremos!  💛
","N
"
261,"Hohenheim - Me fui por tabaco y me convertí en una piedra filosofal. - ""Ed me llamó papá"" - Morí con una sonrisa.  https://t.co/GoJTourBFJ
","P
"
262,"Muchas felicidades señor MOTROQUIIIIIIIIIII @motroco  Espero que pases un dia genial 
","P
"
263,"@david_bonilla no poderme quedar el sábado al evento familiar de la @tarugoconf me jode, pero la familia me necesita en BCN 
","N
"
264,"@26Aitor se habia puesto octavo pero en la última vuelta se ha puesto 4 
","N
"
265,"@mozzarellaplays @Chema_RR @fran_cordobaaaa @V1daldus_Orochi mira que lo intento, pero ni queriendo soy malo tio 
","N
"
266,"@EstefaniaJoaq @DavidCacho  Las políticas del PP puede ser discutibles.  Pero estos políticos. Son de lo que no hay.   Quw gente.  
","NEU
"
267,"@falcaide muchas gracias, Francisco!! feliz día 
","P
"
268,"@MegustaDH @RevillaMiguelA @pp  actualmente es el único partido que merece críticas....también los que lo aplauden   bien por Reviñla
","N
"
269,"@lttgrl  Hmmm pues no se como poder ayudarte mas , a veces es cierto que cuando estoy muy cabreado ni mi truco me sirve 
","N
"
270,"@Charlywayty @Karim0931 cualquiera diría que estamos deseando pasar frío 
","P
"
271,"Penoso lo de hoy, pensando en que hacer en el futuro... Gracias a toda la gente que ha estado en el stream 
","NONE
"
272,"Las imágenes del fuego en Jávea son terribles, vaya forma de acabar el verano 
","N
"
273,"@Organodefuego Vale esperar a las sentencias judiciales. A lo mejor aceptan al pulpo 
","NONE
"
274,"@josep pues todo muy bien   Eso sí, muchos cambios desde la ultima vez que hablamos 😁
","N
"
275,"@DangM3 @muyevil @lsanse Como Pepa y Avelino, Carmen  pero es un lujo tenerles aquí
","N
"
276,"@ruthbasauri vente aquí a caceres y te llevo a un sitio donde verás la luna preciosa 
","N
"
277,"sensacionalismo barato. Como echo de menos milenio 3 
","N
"
278,"#dueloequilibrista Gracias por hacer la mañana más feliz con el programa   LO IMPORTANTE ES NO MIRAR ABAJO!!
","P
"
279,"@sergioch23 la segunda! Of course! Con ese ritmo me imagino que estará genial 
","P
"
280,"Que bonito es estar del otro lado del charco, sin recepción para evitar hacer llamadas en la peda.! 
","NEU
"
281,"@Viikarii Relajate chica  el examene sta done, las notas no van a cambiar por mucho que tiembles asique no te rayes
","N
"
282,"@DeanLostChild JAJAJA molan, aunque las mías están ya en la caquita 
","NEU
"
283,"@LvsyanLoL menuda forma más gratuita de dar envidia por twitter 
","N
"
284,"@__snowwflake sí, pobre Yoosung  a mí tampoco todo eran corazones rojos, debimos elegir las mismas respuestas xd
","N
"
